zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,value_sqft,lot_sqft,year_built,last_sold_date,last_sold_price
64689739.0,7610 Blue Goose Road,78653,30.340269,-97.607802,232787.0,-82.0,251410.0,200197.0,1576.0,147.71,43560.0,1974.0,,
64690794.0,14600 FM 812,78719,30.114289000000003,-97.62750600000001,160808.0,6818.0,188145.0,127038.0,1344.0,119.65,244110.0,1950.0,02/09/2018,128625.0
29356901.0,11701 Portofino Drive,78732,30.372079,-97.87796,677563.0,8684.0,792749.0,616582.0,4208.0,161.02,26136.0,2000.0,07/09/2018,
70324396.0,304 Clubhouse Drive,78734,30.368716999999997,-97.960113,416694.0,8053.0,437529.0,395859.0,2247.0,185.44,12602.0,2006.0,,
29429419.0,10703 Jonwood Way,78753,30.36624,-97.670015,311965.0,-3192.0,352520.0,296367.0,3479.0,89.67,6922.0,1999.0,,
29474985.0,900 Juanita Street,78704,30.241795,-97.763891,554265.0,2650.0,604149.0,521009.0,1880.0,294.82,9627.0,1930.0,,
83126406.0,12317 Terranova Cove,78737,30.179531,-97.918222,632372.0,2802.0,663991.0,588106.0,4082.0,154.92,14519.0,2008.0,,
124150527.0,13400 Briarwick Drive,78729,30.469671,-97.77003,268527.0,-9166.0,281953.0,255101.0,1915.0,140.22,6534.0,2014.0,08/28/2014,238100.0
64433168.0,8915 Appaloosa Run,78737,30.192974,-97.94134,513571.0,-5623.0,554657.0,482757.0,2378.0,215.97,438649.0,1986.0,,
88015767.0,4598 Aria Cove,78681,30.547307,-97.733272,416359.0,4106.0,437177.0,391377.0,2855.0,145.84,10406.0,2006.0,,
89546291.0,11501 Maha Loop Road,78719,30.09334,-97.682424,196962.0,13099.0,232415.0,159539.0,1560.0,126.26,43560.0,2007.0,,
64705110.0,105 Far Vela Lane,78738,30.335784000000004,-97.963851,1031598.0,15925.0,1196654.0,887174.0,5697.0,181.08,45694.0,2003.0,,
29366095.0,11011 Galleria Cove,78759,30.413898,-97.757756,457798.0,9785.0,480688.0,434908.0,2499.0,183.19,9270.0,1994.0,,
