Unnamed,Latitude,Longitude,School_Name,School_Address,School_Rating,zipcode
8436,30.08944,-97.771411,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
906,30.08944,-97.771411,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1112,30.090024,-97.772606,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
1112,30.090024,-97.772606,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
5659,30.090194,-97.700867,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
7427,30.09191,-97.733908,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
5187,30.092077,-97.526849,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
321,30.092165,-97.67553,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78759
321,30.092165,-97.67553,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78759
3394,30.092467,-97.767677,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
3394,30.092467,-97.767677,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6944,30.092814,-97.530656,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
98,30.09334,-97.682424,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78750
98,30.09334,-97.682424,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78750
4231,30.094675,-97.757636,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
4231,30.094675,-97.757636,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
8339,30.095002,-97.684287,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78617
2099,30.095671,-97.759912,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
2099,30.095671,-97.759912,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1792,30.096903,-97.757037,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
1792,30.096903,-97.757037,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2229,30.096989,-97.759632,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78748
2229,30.096989,-97.759632,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
399,30.097534,-97.66172,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78660
399,30.097534,-97.66172,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78660
2173,30.097765,-97.733284,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
2872,30.099033,-97.52558,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
190,30.102453,-97.715634,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78749
8051,30.103739,-97.680167,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78617
947,30.103854,-97.673028,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78729
