alat,alon,year_built
30.465624,-97.648014,1996
30.519607,-97.844708,2000
30.245887,-97.559213,1991
30.354493,-97.52933,2004
30.307396,-97.640141,1999
30.342048,-97.531434,2006
30.353336,-97.958888,2005
30.30165,-97.872808,1989
30.165515,-97.593905,1965
30.371393,-97.712221,1978
30.097534,-97.66172,1955
30.411259,-97.921945,1991
30.371736,-97.859549,1999
30.403926,-97.956251,1986
30.368493,-97.895531,2005
30.355003,-97.739642,1962
30.449588,-97.777683,1980
30.425841,-97.70942,1982
30.239676,-97.893721,1992
30.285748,-97.510038,1985
30.447005,-97.780212,1988
30.369046,-97.986786,1975
30.284588,-97.886686,2014
30.31069,-97.74663,1947
30.258988,-97.913106,1970
30.301538,-97.522507,1995
30.348409,-97.856336,2004
30.263544,-97.629863,1983
30.332761,-97.564042,2004
30.423253,-97.60956,1984
30.213903,-97.923649,1999
30.145808,-97.81976,2003
30.442598,-97.757776,1975
30.272583,-97.718949,1970
30.3433,-97.5407,2003
30.432088,-97.769406,1977
30.254194,-97.904531,1999
30.195274,-97.792332,1977
30.429054,-97.773504,1975
30.375757,-97.938621,2014
30.339773,-97.905785,2008
30.312278,-97.698539,1954
30.521855,-97.668681,1977
30.530927,-97.821479,2005
30.334062,-97.724205,1953
30.244892,-97.935737,1955
30.148194,-97.863955,1981
30.380473,-97.746955,1968
30.204216,-97.684618,1996
30.221878,-97.862339,1983
30.298542,-97.772515,1939
30.450933,-97.842772,2009
30.247249,-97.925084,2003
30.384854,-97.798319,1988
30.335728,-97.750482,1958
30.34519,-97.73212,1952
30.301306,-97.774614,1932
30.10387,-97.728848,1987
30.129693,-97.567764,2016
30.427965,-97.768353,1979
30.442808,-97.649966,2001
30.304339,-97.686332,1970
30.316186,-97.897161,2008
30.263766,-97.703605,1950
30.309186,-97.899049,1996
30.124859,-97.597818,2001
30.293401,-97.808594,1974
30.440803,-97.749749,1984
30.240945,-97.925398,1965
30.19694,-97.795375,1975
30.331575,-97.782416,2007
30.321556,-97.826915,1983
30.237844,-97.900441,1981
30.357441,-97.855395,1994
30.372088,-97.563089,1997
30.212024,-97.523341,2007
30.348091,-97.614711,2014
30.264528,-97.79545,1994
30.372792,-97.81454,1983
30.418013,-97.801878,1994
30.281455,-97.768814,1952
30.166985,-97.852059,1985
30.425252,-97.748222,1963
30.472872,-97.637782,1999
30.302847,-97.642252,1973
30.222753,-97.927382,1965
30.481109,-97.589104,1978
30.187721,-97.820942,1972
30.415491,-97.900529,1970
30.411515,-97.918275,1964
30.225492,-97.522131,1978
30.109025,-97.674944,1984
30.480436,-97.655138,1998
30.349878,-98.01653,2018
30.227845,-97.739472,2013
30.175178,-97.834571,1986
30.289949,-97.953678,1993
30.309464,-97.636456,2000
30.443836,-97.792766,1975
30.34134,-97.932005,1972
30.449681,-97.835496,1977
30.294994,-97.519294,1996
30.177807,-97.840739,1985
30.21655,-97.804111,1969
30.460323,-97.788538,1982
30.421871,-97.756475,2012
30.498389,-97.699712,1978
30.299911,-97.491859,1980
30.356066,-97.7796,2000
30.292348,-97.883644,1992
30.260966,-97.801524,1983
30.372095,-97.901064,2000
30.364806,-97.727128,1955
30.292305,-97.832661,1976
30.103462,-97.714974,1970
30.437327,-97.626915,1991
30.33622,-97.873429,1983
