Latitude,Longitude,School Name,School Address,School Rating,zipcode
30.301989000000003,-97.889661,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10,78733
30.248169,-97.92741099999999,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10,78739
30.126537,-97.595949,Popham Elementary School,"7014 Elroy Road, Austin, TX  78617",3,78617
30.345993,-97.98405600000001,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8,78738
30.073727,-97.641486,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3,78747
30.409537,-97.778461,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX  78759",10,78759
30.367713000000002,-97.946765,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7,78645
30.41307,-97.734227,Davis Elementary School,"5214 Duval Road, Austin, TX  78727",6,78727
30.257982000000002,-97.564298,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2,78653
30.204762,-97.849337,Boone Elementary School,"8101 Croftwood Drive, Austin, TX  78749",8,78749
30.302388,-97.486288,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.281806,-97.509946,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.292588000000002,-97.688935,Sims Elementary School,"1203 Springdale Road, Austin, TX  78721",3,78721
30.39459,-97.803899,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX  78759",10,78759
30.308927,-97.89546999999999,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10,78733
30.497203000000003,-97.893085,Westside Elementary School,"300 Ryan Jordan Lane, Cedar Park, TX  78613",8,78613
30.322246000000003,-97.543391,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.439951,-97.635437,Springhill Elementary School,"600 South Heatherwilde Boulevard, Pflugerville, TX  78660",5,78660
30.22624,-97.630832,Govalle Elementary School,"3601 Del Valle Street, Austin, TX  78617",1,78617
30.360134000000002,-97.63848,Pioneer Crossing Elementary School,"11300 Samsung Boulevard, Austin, TX  78754",6,78754
30.297615000000004,-97.76510999999999,Casis Elementary School,"2710 Exposition Boulevard, Austin, TX  78703",10,78703
30.470705,-97.778021,Forest North Elementary School,"13414 Broadmeade Avenue, Austin, TX  78729",5,78729
30.122444,-97.83040600000001,Menchaca Elementary School,"12120 Manchaca Rd, Austin, TX 78748",5,78748
30.326024,-97.76508199999999,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX  78731",9,78731
30.142666,-97.598715,Del Valle Elementary School,"5400 Ross Road, Travis County, TX  78617",3,78617
30.545721,-97.80662,Block House Creek Elementary School,"401 Creek Run Drive, Leander, TX  78641",7,78641
30.129177000000002,-97.646425,Popham Elementary School,"7014 Elroy Road, Austin, TX  78617",3,78617
30.298609000000003,-97.482155,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.165527,-97.766492,Perez Elementary School,"7500 South Pleasant Valley Road, Austin, TX  78744",4,78744
30.355006,-97.889229,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10,78732
30.410545000000003,-97.936304,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7,78645
30.473703000000004,-97.65520500000001,Caldwell Elementary School,"1718 Picadilly Drive, Round Rock, TX  78664",6,78664
30.360740000000003,-97.734999,Pillow Elementary School,"3025 Crosscreek Drive, Austin, TX  78757",4,78757
30.343259999999997,-97.998592,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8,78738
30.245106,-97.558013,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2,78653
30.304101,-97.688652,Blanton Elementary School,"5408 Westminster Drive, Austin, TX  78723",5,78723
30.405196999999998,-97.924198,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7,78645
30.340076,-97.81320699999999,Bridge Point El,"6401 Cedar Street, Austin, TX  78746",10,78746
