,Offense Desc,Offense Category,Address,lat,lng,Severity
2067,BURGLARY OF RESIDENCE         ,Burglary,802 KAVANAGH DR 78748,30.1792568,-97.8034233,2
2068,AUTO THEFT                    ,Auto Theft,1333 SHORE DISTRICT DR 78741,30.2432974,-97.7272428,3
2069,AUTO THEFT                    ,Auto Theft,3801 BERKMAN DR 78723,30.2905045,-97.6983968,3
2070,BURGLARY NON RESIDENCE        ,Burglary,6610 BURNET RD 78757,30.3422611,-97.7389835,2
2071,THEFT                         ,Theft,9300 S IH 35 SVRD SB 78748,30.165205,-97.7903534,1
2072,BURGLARY NON RESIDENCE        ,Burglary,709 W 22ND ST 78705,30.285076,-97.7463386,2
2073,BURGLARY OF RESIDENCE         ,Burglary,811 W ST JOHNS AVE 78757,30.3391567,-97.7191817,2
2074,THEFT OF TRAILER              ,Theft,8401 S 1ST ST 78748,30.178914,-97.794888,1
2075,THEFT OF HEAVY EQUIPMENT      ,Theft,5600 JOHNNY MORRIS RD 78724,30.2912313,-97.6543104,1
2076,THEFT BY SHOPLIFTING          ,Theft,9500 S IH 35 SVRD SB 78748,30.164043,-97.7935432,1
2077,AUTO THEFT                    ,Auto Theft,9600 S IH 35 SVRD SB 78748,30.1587377,-97.7910009,3
2078,THEFT                         ,Theft,525 N LAMAR BLVD 78703,30.2706071,-97.7532586,1
2079,THEFT                         ,Theft,1508 MONTOPOLIS DR 78741,30.2283632,-97.7016626,1
2080,THEFT                         ,Theft,2508 E RIVERSIDE DR 78741,30.2364302,-97.7221515,1
2081,THEFT                         ,Theft,10801 OLD MANCHACA RD 78748,30.1625936,-97.8287852,1
2082,THEFT                         ,Theft,12900 N IH 35 SB 78753,30.4134351,-97.6763078,1
2083,THEFT                         ,Theft,200 BAGGAGE WAY 78719,30.1590253,-97.681943,1
2084,THEFT                         ,Theft,4405 E RIVERSIDE DR 78741,30.2328979,-97.7235516,1
2085,THEFT BY SHOPLIFTING          ,Theft,9500 S IH 35 SVRD SB 78748,30.164043,-97.7935432,1
2086,BURGLARY NON RESIDENCE        ,Burglary,8711 BURNET RD 78757,30.3689455,-97.7256043,2
2087,BURGLARY OF RESIDENCE         ,Burglary,5220 WALNUT GROVE CT 78744,30.190591,-97.7377449,2
2088,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,7305 TUMBLEWEED DR 78724,30.3115245,-97.6534758,4
2089,BURGLARY OF RESIDENCE         ,Burglary,6708 KILT CT 78754,30.3495266,-97.6133128,2
2090,AUTO THEFT                    ,Auto Theft,5502 HIBISCUS DR 78724,30.3153032,-97.6531792,3
2091,BURGLARY OF RESIDENCE         ,Burglary,8028 GESSNER DR 78753,30.3444962,-97.7020747,2
2092,THEFT OF TRAILER              ,Theft,8006 CAMERON RD 78753,30.337317,-97.6866073,1
2093,BURGLARY OF RESIDENCE         ,Burglary,301 BRAZOS ST 78701,30.2651009,-97.7422035,2
2094,THEFT BY SHOPLIFTING          ,Theft,2300 W BEN WHITE BLVD SVRD WB 78704,30.2334435,-97.7915789,1
2095,BURGLARY OF RESIDENCE         ,Burglary,1905 ROBBINS PL 78705,30.2843147,-97.7492413,2
2096,AUTO THEFT                    ,Auto Theft,2710 NUECES ST 78705,30.2928001,-97.7429296,3
2097,BURGLARY OF RESIDENCE         ,Burglary,8005 GEORGIAN DR 78753,30.345273,-97.70385,2
2098,BURGLARY OF RESIDENCE         ,Burglary,6703 ASHPRINGTON LN 78754,30.3506118,-97.6126756,2
2099,THEFT                         ,Theft,1030 NORWOOD PARK BLVD 78753,30.3393609,-97.6908244,1
2100,THEFT                         ,Theft,2021 GUADALUPE ST 78705,30.2832126,-97.7417518,1
2101,THEFT                         ,Theft,10114 JOLLYVILLE RD 78759,30.3955339,-97.7503706,1
2102,BURGLARY OF VEHICLE           ,Theft,1401 ROSEWOOD AVE 78702,30.2687694,-97.7240819,3
2103,THEFT                         ,Theft,2508 E RIVERSIDE DR 78741,30.2364302,-97.7221515,1
2104,THEFT OF LICENSE PLATE        ,Theft,1030 NORWOOD PARK BLVD 78753,30.3393609,-97.6908244,1
2105,BURGLARY OF RESIDENCE         ,Burglary,2201 MONTOPOLIS DR 78741,30.2221438,-97.7042472,2
2106,BURGLARY OF RESIDENCE         ,Burglary,12343 HUNTERS CHASE DR 78729,30.442344,-97.769885,2
2107,BURGLARY OF RESIDENCE         ,Burglary,6202 LIBYAN DR 78745,30.2071741,-97.7936122,2
2108,BURGLARY OF RESIDENCE         ,Burglary,1919 BURTON DR 78741,30.2338448,-97.7309318,2
2109,THEFT                         ,Theft,525 N LAMAR BLVD 78703,30.2706071,-97.7532586,1
2110,BURGLARY OF RESIDENCE         ,Burglary,6407 SPRINGDALE RD 78723,30.3064066,-97.6689202,2
2111,BURGLARY OF RESIDENCE         ,Burglary,10008 QUAIL HUTCH DR 78758,30.376799,-97.7091385,2
2112,AGG ROBBERY/DEADLY WEAPON     ,Robbery,12601 TECH RIDGE BLVD 78753,30.4013438,-97.6572694,5
2113,BURGLARY OF RESIDENCE         ,Burglary,4344 BREMNER DR 78749,30.1946471,-97.8570471,2
2114,THEFT BY SHOPLIFTING          ,Theft,3848 AIRPORT BLVD 78722,30.2884495,-97.7081947,1
2115,THEFT                         ,Theft,2336 DOUGLAS ST 78741,30.2283098,-97.732971,1
2116,BURGLARY OF VEHICLE           ,Theft,1151 AIRPORT BLVD 78721,30.2741741,-97.6977394,3
2117,BURGLARY OF VEHICLE           ,Theft,7003 DEBORAH DR 78752,30.3330863,-97.7094036,3
2118,BURGLARY OF VEHICLE           ,Theft,212 E LISA DR 78752,30.334089,-97.7083431,3
2119,THEFT                         ,Theft,1614 W 11TH ST 78703,30.2801392,-97.760494,1
